2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.4°, Prev=175.2°, Direction=increasing, Frames Since Rep=14
2025-09-15 15:36:16 - INFO - Bicep Curl Rep 2: Correct, Avg Elbow Angle: 135.8°, Min: 45.3°, Max: 175.9°, Avg Shoulder Angle: 14.6°, Correct Reps: 2, Incorrect Reps: 0
2025-09-15 15:36:16 - DEBUG - Bicep Curl Feedback: Great job!
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=175.8°, Prev=175.4°, Direction=increasing, Frames Since Rep=1
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=176.2°, Prev=175.8°, Direction=increasing, Frames Since Rep=2
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=176.6°, Prev=176.2°, Direction=increasing, Frames Since Rep=3
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.0°, Prev=176.6°, Direction=increasing, Frames Since Rep=4
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.3°, Prev=177.0°, Direction=increasing, Frames Since Rep=5
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.6°, Prev=177.3°, Direction=increasing, Frames Since Rep=6
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.6°, Direction=increasing, Frames Since Rep=7
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=increasing, Frames Since Rep=8
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=decreasing, Frames Since Rep=9
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=decreasing, Frames Since Rep=10
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=decreasing, Frames Since Rep=11
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=increasing, Frames Since Rep=12
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=177.7°, Direction=increasing, Frames Since Rep=13
2025-09-15 15:36:16 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.7°, Direction=increasing, Frames Since Rep=14
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=177.9°, Prev=177.8°, Direction=increasing, Frames Since Rep=15
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=177.9°, Prev=177.9°, Direction=increasing, Frames Since Rep=16
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.9°, Direction=decreasing, Frames Since Rep=17
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=177.8°, Prev=177.8°, Direction=decreasing, Frames Since Rep=18
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=178.1°, Prev=177.8°, Direction=increasing, Frames Since Rep=19
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=177.7°, Prev=178.1°, Direction=decreasing, Frames Since Rep=20
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=176.5°, Prev=177.7°, Direction=decreasing, Frames Since Rep=21
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=174.3°, Prev=176.5°, Direction=decreasing, Frames Since Rep=22
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=170.5°, Prev=174.3°, Direction=decreasing, Frames Since Rep=23
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=166.5°, Prev=170.5°, Direction=decreasing, Frames Since Rep=24
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=161.8°, Prev=166.5°, Direction=decreasing, Frames Since Rep=25
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=157.4°, Prev=161.8°, Direction=decreasing, Frames Since Rep=26
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=155.1°, Prev=157.4°, Direction=decreasing, Frames Since Rep=27
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=154.9°, Prev=155.1°, Direction=decreasing, Frames Since Rep=28
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=154.8°, Prev=154.9°, Direction=decreasing, Frames Since Rep=29
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=157.8°, Prev=154.8°, Direction=increasing, Frames Since Rep=30
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=161.8°, Prev=157.8°, Direction=increasing, Frames Since Rep=31
2025-09-15 15:36:17 - DEBUG - Bicep Curl: Smoothed Elbow=165.6°, Prev=161.8°, Direction=increasing, Frames Since Rep=32
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=169.4°, Prev=165.6°, Direction=increasing, Frames Since Rep=33
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=172.8°, Prev=169.4°, Direction=increasing, Frames Since Rep=34
2025-09-15 15:36:18 - DEBUG - Bicep Curl: Smoothed Elbow=174.1°, Prev=172.8°, Direction=increasing, Frames Since Rep=35
